Song Title,Artist
GANMA,Lexie Liu
Ace Hood Flow,Skepta
I Want You (Fever),Momma
Shine On (feat. Nikki Jean),Brother Ali
Nike (feat. DETO BLACK),Shygirl
luther,Kendrick Lamar & SZA
PURE/HONEY,Beyoncé
Baddies,SadBoi
Bitches Over Boys,AC Slater, Redlight & SadBoi
Eusexua,FKA twigs
BAND4BAND,Central Cee & Lil Baby
Daily Prayer,Mr. G
Love Theme,Fred Falke
Intro,Alan Braxe & Fred Falke
Valentina,Dreamer Isioma
Feeling Blue,Borrowed Identity
I Can’t Kick This Feeling When It Hits,Moodymann
Gimme,Lay-Far
The Rainbow Song,Art of Tones
Gruff,Fouk
Washing My Heart,Kezz YM
Midnight City,M83
Missing You,Boston Bun
Tonight (Radio Edit),Yuksek
You Are My High,DeMøn
L'amour,Rouge Rouge
Baby I'm Yours (feat. Irfane),Breakbot
Sonate Pacifique (feat. Isaac Delusion),L’Impératrice
33 "GOD",Bon Iver
